72387,Troy Sanders,2006-07-26,27179306
83280,Rebecca Marshall,2003-01-07,79947495
54946,Brianna Mcdowell,2005-12-22,43477924
60088,Michael Moore,2005-07-16,45282420
47717,Catherine Peck,2001-04-08,24772320
79989,Jenny Monroe,2006-05-23,97329910
10875,John Moran,2000-06-25,54413181
88789,Sara Rojas,1999-12-19,21753512
75511,Mark Williams,2005-01-06,40314288
64082,Catherine Foster,2006-04-17,98591611
66419,Alan Turner,2006-08-08,80928044
96346,Erika Hudson,2006-07-17,49776337
70954,Tanya Cook,2002-01-04,59702447
25949,Laurie Lee,2000-11-18,27298871
32966,Erik Carlson,2001-12-11,79324586
99526,Alice Preston,2003-09-26,76535534
60822,Cody Gray,2006-11-08,65249871
32380,Janet Garcia,1999-06-23,39144025
90255,Lisa Hardy,2002-08-27,30825095
89346,Vanessa Phillips,2001-12-07,75662673
40050,Louis Gutierrez,2001-09-26,57494172
94689,Michael Santana,2006-10-24,35987612
31856,John Evans,1999-12-01,24949440
28120,Steven Combs,2006-03-05,70500301
92950,Phillip Odom,2000-04-03,56895500
92517,Ronald Armstrong,2006-10-27,49299505
99848,Jared Jackson,2003-07-07,45556698
83324,Katherine Jones,1999-09-05,41446699
36325,Amanda Taylor,2002-09-29,69616842
56812,Carla Powers,2000-02-26,25084949
69352,Michael Shaw,2000-11-02,92993932
67061,Katherine Smith,2004-12-31,92213518
39447,Angela Turner,2002-02-24,98237790
40263,Nicholas Johnson,2006-10-09,80804740
30008,Paul Pittman,1999-05-24,96925689
35211,Mark Newton,2001-10-24,59795325
93585,James Duke,2002-06-03,33525436
60096,Ricardo Esparza DDS,1999-08-06,24613123
31675,Ashley Floyd,2001-07-17,41736902
52484,Ronald Johnson,2003-09-01,86523113
84230,Cathy Miller,2002-07-28,31816188
99930,Robert Higgins,2001-10-15,88507257
59512,John Thompson,2004-02-27,57135175
26303,Amy Jenkins,2000-03-01,72658703
37732,Erin Riddle,2006-01-04,39996912
50766,Lisa Ross,2004-04-05,77759373
86359,Sarah Jones,2000-08-06,54705801
90717,Jessica Schultz,2006-11-23,78003506
74245,Lisa Roberts,2003-12-06,65546673
28314,Michael Phillips,2001-09-06,56047494
82210,Misty Patel,2000-07-10,73987949
44738,Anna Alvarez,2000-12-21,38108252
33732,Betty Barron,2004-06-19,84300572
41201,Joyce Barker,2007-02-20,93085835
19277,Jeremy Reed,2005-07-21,58940798
11022,Nathan Sheppard,2003-07-02,78599270
84367,Kristine Johnson,2000-08-14,81393705
12822,James Lam,2003-04-05,37414905
12593,Travis Holloway,2003-06-08,45388911
85890,Matthew Ray,2000-11-17,53399304
52945,Jesse Brown,2003-07-15,44311470
92621,Christopher Cook,2001-04-28,22325435
99324,Amanda Yang,2005-04-09,24839940
96911,Sarah Floyd MD,2002-07-16,78017969
41370,Stephanie Leach,2000-01-18,57806214
91298,Phillip Leonard,2005-12-27,69338086
91517,Amy Rodriguez,2004-05-12,93596728
98611,Molly Pearson,2004-12-04,67932638
86460,Brittney Barnes,2001-07-11,62772419
63454,Melvin Thomas,2004-04-29,47830995
36452,Johnathan Guerrero,2005-07-15,86492091
58382,Thomas Mendez,2000-07-19,97657268
50785,Monica Juarez,2002-06-21,97069772
58936,Morgan Martinez,2001-01-24,68443714
41318,Jennifer Parker,2003-03-06,80960057
10758,Emily Garcia,2007-04-02,96394747
90458,Jennifer Jackson,2002-12-17,81974824
98584,William Hernandez,2006-08-16,65304975
97354,Brenda Johnson,2006-06-15,85899557
17648,Anne Smith,1999-09-06,42166797
60680,Dawn Thompson,1999-08-15,89443401
71630,Mitchell Smith,2003-11-21,72906744
30397,Kelly Mejia,2006-09-29,90796795
52717,Janet Thomas,2002-09-14,98823929
58287,Christopher Moran,2001-03-29,25516619
66735,Phillip White,2001-10-03,83167177
39585,Andrew Carr,2003-08-30,80574614
18877,Joseph Mills,2005-02-18,94944739
77031,Jennifer Smith,2003-07-14,98889425
60938,Stephanie Whitehead,2000-08-05,93254640
27068,Mark Gill,2001-11-13,69897388
64117,Mrs. Natalie Becker,2006-10-23,24124453
47692,Felicia Hensley,2007-03-08,51493313
71819,Holly Reilly,2000-03-16,41476714
51300,Tyler Alexander,2004-03-25,20886313
20017,Benjamin Murray,2004-01-03,98612109
65294,Cathy Moreno,2006-06-30,65812960
84721,April Adams,2003-11-02,77905962
19241,Theresa Vargas,2003-03-28,84100765
42462,Elizabeth Waters,2004-10-21,78245644
58704,Allison Higgins,2006-10-31,40433266
62875,Eric Buckley,2006-11-23,47931535
45129,Justin Cooper,2005-11-02,77815817
70031,Mark Johnson,2003-02-09,93069427
43323,Louis Leonard,2005-06-08,73043919
25728,Nathan Herrera,2006-04-01,47757546
62594,Joshua Campbell,2002-11-14,53336002
27998,Jillian Smith,2000-06-16,39069722
89688,David Horn,2007-02-27,27374144
41039,James Freeman,2001-01-02,73140810
70684,Jacqueline Schwartz,2000-05-07,28260738
91776,Juan Hughes,2006-07-24,20098820
85741,Anna Buckley,2000-06-09,32126025
80342,Wyatt Silva,2001-06-27,60916682
21009,Ann Mercado,2005-09-30,54234987
63924,Richard Williams,2007-05-05,55355228
72022,Teresa Dillon,2001-04-02,89513409
21335,Samantha Jackson MD,1999-12-27,96272298
62889,Terri Yang,2006-11-29,69088359
27241,Brian Lamb,2003-10-31,90358855
81803,Joseph Greene,2004-09-23,62540716
97029,Emily Woods,2004-06-02,29646876
64693,Todd Wright,2006-11-21,76430797
74236,Kelly Maynard,2000-08-19,23507035
24389,Dwayne Flynn,2004-02-23,52989722
89473,Monique Pennington,2006-09-21,64263891
64234,Dennis Knapp,2005-10-16,45669958
93557,Rebecca Cox,2001-12-16,69675365
24363,Kevin Quinn,2000-03-18,79089203
68084,Eric Smith,2002-12-26,53408707
80669,Christopher Morton,1999-09-12,56621933
22053,Kelsey Wilson,2006-05-05,36956045
65736,Mark Rodriguez,2005-12-27,92959867
71858,Laurie Brown,2002-03-10,77897504
42588,Jesse Allen,2000-03-25,65738405
11033,David Williams,2005-04-13,30136013
11204,Peter Jacobs,2000-07-02,54258953
95105,Justin Moore,1999-11-13,65300971
76901,Donald Riley,2005-09-12,76958093
43830,Ellen Obrien,2003-02-14,45018898
86262,Jennifer Mcintyre,2002-08-21,20334994
11503,Ann Garcia,2001-08-13,90359630
77389,Carla Johnson,2005-12-10,24127720
38073,Charles Ellis,2007-03-17,77088774
34286,Hunter Anthony,2000-04-09,60125457
16340,Amanda Hess,2001-06-02,24438318
62236,Robert Fitzgerald,2001-10-13,75346276
19127,Paul Hernandez,2000-04-13,23283220
98519,Scott Johnson,2004-01-03,27955247
64771,Chad Carroll,2002-02-03,89168738
76296,Tyler Smith,2005-11-16,92352155
54364,Carol Williams,2003-12-28,88964009
31984,Andrew Harris,2003-04-29,45632700
64507,Jason Gonzalez,2002-07-11,68856025
73925,Sarah Harrison,2005-10-21,36666188
59527,Claire Clarke,2003-06-13,57169676
29701,Matthew Koch,2001-03-15,38929949
17366,Tammy Howell,2004-10-05,33736555
44516,Teresa Nguyen,1999-06-21,51735218
14704,Sean Maldonado,2002-06-01,53692256
31352,Tina Mcpherson DDS,1999-05-25,30062248
83923,Kelsey Vance,1999-12-18,67928244
57634,Paul Martin,1999-09-16,89312419
46765,Kenneth Hernandez,1999-11-10,61100738
65755,Andrew Ashley,2002-11-01,47071874
37958,Jessica Thomas,2004-04-08,99911920
67240,Chad Schwartz,2003-07-27,55651835
45611,Joseph Moore,2003-07-15,83556777
90783,Eric Miller,2002-11-17,32482781
93361,Jennifer Miller,2006-06-05,21236233
68966,Susan Harris,2006-10-22,50882503
33393,Sarah Murphy,2003-02-26,84158701
32061,Mary Harris,2000-01-05,56873619
23026,Susan Henry,2002-08-21,26369918
91934,Keith Mendez,2003-12-07,63533347
98928,Linda Ward,2000-12-06,83206087
22258,Cassandra Fox,2007-02-17,37027611
90286,Christian Jones,2003-05-25,32880959
31416,Nancy Chavez,2002-10-20,39936317
35348,Ronnie Gomez,2004-07-25,36622176
32784,Karen Edwards,2003-01-09,38294142
75321,Don Adams,2000-11-24,94293837
13515,Danny Shannon,2002-06-13,26782599
99456,Kelly Smith,2000-06-08,74537972
25285,Paul Martinez,2006-12-29,57884390
34628,Michael Stanley,1999-11-12,59484040
43534,Jeffrey Ibarra,2004-01-29,90270014
57504,Natalie Salazar,1999-08-06,99561122
91106,Kevin Glenn,2002-12-04,77960862
91206,Joanna Hernandez,2003-07-19,39513045
52253,Donna Martinez,2000-03-24,76331612
67805,Michael Kelley,2002-11-06,79165546
69133,Lori Hebert,2001-04-20,24382318
46510,Cynthia Curry,1999-09-05,99314979
46318,Brian Craig,2005-01-15,67358336
23068,Sandra Middleton,2006-02-23,49560269
59137,Edward Shepherd,2000-09-25,42606355
47702,Anthony Patel,2001-01-14,89697147
28244,Mr. Brandon Perry,2006-11-01,52464665
89288,Brandon Salazar,2007-03-17,76446129
63522,Douglas Jackson,2004-01-28,33238035
35659,William Wright,2004-10-22,41263881
49019,Natalie Gonzalez,2002-01-30,84440258
63249,David Hanson,2002-02-22,49192908
62513,Stephanie Williams,2006-07-10,21057674
10900,Natasha Preston,2004-02-28,27778085
87900,Brian Swanson,2006-09-25,72460367
52473,Dawn Avery,2002-08-10,83068334
94366,Whitney Stephenson,2000-04-10,86568476
84740,Tony Banks,2001-07-09,68978950
88349,Yolanda Parker,2000-08-13,42306047
91872,Lisa Rivers,2002-05-26,44971280
24469,Brittany Sampson,2000-12-20,41798491
91853,Jerry Rodriguez DVM,2001-11-20,47835794
67581,Stephanie Williams,2002-06-09,28881784
65126,Anthony Daniels,2003-03-12,56328513
68630,Michael Anderson,2003-01-29,58710864
41515,Michael Hayes,2006-10-19,46943683
26860,Kelly Barber,2003-07-16,80685426
77731,Kathryn Brown,2001-10-22,75728525
28248,Timothy Lopez,2001-04-17,81371566
29287,Lauren Dunn,2004-06-24,23412844
60299,Stephanie Torres,2006-07-18,85922914
54518,James Snyder,2001-02-24,47708403
20293,Wesley Mcdaniel,2005-04-18,88370915
69099,Alicia Cox,2002-05-08,23134965
